indicator_id,name,measure,how_calculated,source_list
10,Infant Death,Rate,"<p>Number of deaths occurring at less than 1 year of age in an area, divided by the number of live births among resident mothers of the area; expressed as cases per 1,000 live births. Infant deaths are restricted to those that can be linked to a birth certificate of a NYC resident mother and are mapped to the mother's usual residence at birth. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",New York City Bureau of Vital Statistics
12,Neonatal Death,Rate,"<p>Number of deaths occurring at less than 28 days of age in an area, divided by the number of live births among resident mothers of the area; expressed as cases per 1,000 live births. Neonatal deaths are restricted to those that can be linked to a birth certificate of a NYC resident mother. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",New York City Bureau of Vital Statistics
16,Postneonatal Death,Rate,"<p>Number of deaths occurring from 28 days to less than 1 year of age in an area, divided by the number of live births among resident mothers of the area; expressed per 1,000 live births. Deaths are restricted to those that can be linked to a birth certificate of a NYC resident mother and are mapped to the mother's usual residence at birth. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",New York City Bureau of Vital Statistics
17,Total (Lifetime) Fertility,Rate,"<p>Sum of annual age-specific birth rates (grouped by 5-year age intervals, from 10 - 49 years) among NYC resident women, multiplied by 5; expressed per 1,000 women. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",New York City Bureau of Vital Statistics
14,Perinatal Death,Rate,"<p>Number of fetal deaths occurring at 28 or more weeks gestation, plus infant deaths occurring up to 6 days after birth, divided by the sum of fetal deaths at 28 weeks or more gestation and live births among resident mothers of the area; expressed per 1,000 fetal deaths plus live births. Deaths are restricted to those that can be linked to a birth certificate of a NYC resident mother and are mapped to the mother's usual residence at birth. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",New York City Bureau of Vital Statistics
73,"Carbon Monoxide Incidents ",Rate,"Number of carbon monoxide incidents in an area, where FDNY measured at least 1 ppm at the scene, divided by the number of buildings in the area; expressed as incidents per 10,000 buildings.  ",Fire Department of New York City (FDNY) Carbon Monoxide Incidents; New York City Primary Land Use Tax Lot Output (PLUTO™ ) Property Characteristic Data
149,Carbon Monoxide Exposures,Rate,"Number of calls to the NYC Poison Control Center for reported unintentional human exposure to carbon monoxide, divided by the population in the area using NYC DOHMH intercensal estimates; expressed as cases per 100,000 residents.",New York City Poison Control Center (PCC) Call Database
155,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Rate,"<p>Number of asthma-related hospitalizations among NYC resident children up to 4 years old, divided by the population of children up to 4 years old, using NYC DOHMH intercensal estimates; expressed as cases per 10,000 residents.</p>
<p>&nbsp;</p>
<p>A hospitalization is included if it has an ICD-9 principal diagnosis code of 493 or an ICD-10 principal diagnosis code of J45. New York hospitals began using the ICD-10 system on October 1, 2015. Because the ICD systems are similar in how they classify childhood asthma, data can be compared across years.</p>
<p>&nbsp;</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
162,"Carbon Monoxide Hospitalizations (Fire-Related) ",Rate,"<p>Number of NYC resident hospitalizations containing ICD-9 diagnosis code for carbon monoxide poisoning, 986, or any of the following: E868.2, E868.3, E868.8, E868.9. Must also have an unintentional fire-related injury code within E890.0-E899.9. Cannot have any intentional injury code E950.0-E969. Count is divided by the population using NYC DOHMH intercensal estimates; expressed as cases per million residents.</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
165,Carbon Monoxide Hospitalizations (Other Causes),Rate,"<p>Number of NYC resident hospitalizations containing ICD-9 diagnosis code for carbon monoxide poisoning, 986, or any of the following: E868.2, E868.3, E868.8, E868.9. Must not have any fire-related injury code E890.0-E899.9, nor any intentional injury code E950.0-E969. Acceptable injury codes in range: E800.0-E888.9, E900.0-E909.9. Count is divided by the population using NYC DOHMH intercensal estimates; expressed as cases per million residents.</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
